unit_id,treatment,exposed,exposure_count,converted,data_source,scenario
SYN-000076,control,1,1,0,synthetic,near_null_effect
SYN-000077,treatment,1,1,0,synthetic,near_null_effect
SYN-000078,control,1,1,0,synthetic,near_null_effect
SYN-000079,treatment,1,1,0,synthetic,near_null_effect
SYN-000080,treatment,1,1,0,synthetic,near_null_effect
SYN-000081,control,1,1,0,synthetic,near_null_effect
SYN-000082,control,1,1,0,synthetic,near_null_effect
SYN-000083,treatment,1,1,0,synthetic,near_null_effect
SYN-000084,treatment,1,1,0,synthetic,near_null_effect
SYN-000085,treatment,1,1,1,synthetic,near_null_effect
SYN-000086,treatment,1,1,0,synthetic,near_null_effect
SYN-000087,control,1,1,0,synthetic,near_null_effect
SYN-000088,treatment,1,1,0,synthetic,near_null_effect
SYN-000089,treatment,1,1,0,synthetic,near_null_effect
SYN-000090,treatment,1,1,0,synthetic,near_null_effect
SYN-000091,treatment,1,1,0,synthetic,near_null_effect
SYN-000092,control,1,1,0,synthetic,near_null_effect
SYN-000093,treatment,1,1,1,synthetic,near_null_effect
SYN-000094,control,1,1,0,synthetic,near_null_effect
SYN-000095,treatment,1,1,0,synthetic,near_null_effect
SYN-000096,treatment,1,1,0,synthetic,near_null_effect
SYN-000097,control,1,1,0,synthetic,near_null_effect
SYN-000098,treatment,1,1,0,synthetic,near_null_effect
SYN-000099,treatment,1,1,0,synthetic,near_null_effect
SYN-000100,control,1,1,0,synthetic,near_null_effect
SYN-000101,treatment,1,1,0,synthetic,near_null_effect
SYN-000102,control,1,1,0,synthetic,near_null_effect
SYN-000103,treatment,1,1,0,synthetic,near_null_effect
SYN-000104,control,1,1,0,synthetic,near_null_effect
SYN-000105,treatment,1,1,1,synthetic,near_null_effect
SYN-000106,control,1,1,0,synthetic,near_null_effect
SYN-000107,control,1,1,0,synthetic,near_null_effect
SYN-000108,treatment,1,1,0,synthetic,near_null_effect
SYN-000109,treatment,1,1,1,synthetic,near_null_effect
SYN-000110,control,1,1,0,synthetic,near_null_effect
SYN-000111,control,1,1,0,synthetic,near_null_effect
SYN-000112,treatment,1,1,0,synthetic,near_null_effect
SYN-000113,treatment,1,1,0,synthetic,near_null_effect
SYN-000114,control,1,1,0,synthetic,near_null_effect
SYN-000115,treatment,1,1,0,synthetic,near_null_effect
SYN-000116,control,1,1,0,synthetic,near_null_effect
SYN-000117,control,1,1,0,synthetic,near_null_effect
SYN-000118,treatment,1,1,0,synthetic,near_null_effect
SYN-000119,control,1,1,0,synthetic,near_null_effect
SYN-000120,treatment,1,1,0,synthetic,near_null_effect
SYN-000121,control,1,1,0,synthetic,near_null_effect
SYN-000122,control,1,1,0,synthetic,near_null_effect
SYN-000123,control,1,1,0,synthetic,near_null_effect
SYN-000124,treatment,1,1,0,synthetic,near_null_effect
SYN-000125,treatment,1,1,0,synthetic,near_null_effect
SYN-000126,treatment,1,1,0,synthetic,near_null_effect
SYN-000127,control,1,1,0,synthetic,near_null_effect
SYN-000128,control,1,1,0,synthetic,near_null_effect
SYN-000129,control,1,1,0,synthetic,near_null_effect
SYN-000130,treatment,1,1,0,synthetic,near_null_effect
SYN-000131,control,1,1,0,synthetic,near_null_effect
SYN-000132,treatment,1,1,0,synthetic,near_null_effect
SYN-000133,treatment,1,1,0,synthetic,near_null_effect
SYN-000134,control,1,1,0,synthetic,near_null_effect
SYN-000135,treatment,1,1,0,synthetic,near_null_effect
SYN-000136,control,1,1,0,synthetic,near_null_effect
SYN-000137,treatment,1,1,0,synthetic,near_null_effect
SYN-000138,treatment,1,1,0,synthetic,near_null_effect
SYN-000139,control,1,1,0,synthetic,near_null_effect
SYN-000140,control,1,1,0,synthetic,near_null_effect
SYN-000141,control,1,1,0,synthetic,near_null_effect
SYN-000142,control,1,1,0,synthetic,near_null_effect
SYN-000143,control,1,1,0,synthetic,near_null_effect
SYN-000144,treatment,1,1,0,synthetic,near_null_effect
SYN-000145,treatment,1,1,0,synthetic,near_null_effect
SYN-000146,treatment,1,1,0,synthetic,near_null_effect
SYN-000147,control,1,1,0,synthetic,near_null_effect
SYN-000148,control,1,1,0,synthetic,near_null_effect
SYN-000149,control,1,1,0,synthetic,near_null_effect
SYN-000150,treatment,1,1,0,synthetic,near_null_effect
SYN-000151,control,1,1,0,synthetic,near_null_effect
SYN-000152,treatment,1,1,0,synthetic,near_null_effect
SYN-000153,treatment,1,1,0,synthetic,near_null_effect
SYN-000154,control,1,1,0,synthetic,near_null_effect
SYN-000155,treatment,1,1,0,synthetic,near_null_effect
SYN-000156,treatment,1,1,1,synthetic,near_null_effect
SYN-000157,treatment,1,1,0,synthetic,near_null_effect
SYN-000158,treatment,1,1,0,synthetic,near_null_effect
SYN-000159,treatment,1,1,0,synthetic,near_null_effect
SYN-000160,treatment,1,1,0,synthetic,near_null_effect
SYN-000161,control,1,1,0,synthetic,near_null_effect
SYN-000162,treatment,1,1,0,synthetic,near_null_effect
SYN-000163,control,1,1,0,synthetic,near_null_effect
SYN-000164,control,1,1,0,synthetic,near_null_effect
SYN-000165,treatment,1,1,0,synthetic,near_null_effect
SYN-000166,treatment,1,1,0,synthetic,near_null_effect
SYN-000167,control,1,1,1,synthetic,near_null_effect
SYN-000168,treatment,1,1,0,synthetic,near_null_effect
SYN-000169,treatment,1,1,0,synthetic,near_null_effect
SYN-000170,treatment,1,1,0,synthetic,near_null_effect
SYN-000171,control,1,1,0,synthetic,near_null_effect
SYN-000172,treatment,1,1,0,synthetic,near_null_effect
SYN-000173,control,1,1,0,synthetic,near_null_effect
SYN-000174,control,1,1,0,synthetic,near_null_effect
SYN-000175,treatment,1,1,0,synthetic,near_null_effect
SYN-000176,treatment,1,1,0,synthetic,near_null_effect
SYN-000177,control,1,1,0,synthetic,near_null_effect
SYN-000178,treatment,1,1,0,synthetic,near_null_effect
SYN-000179,treatment,1,1,0,synthetic,near_null_effect
SYN-000180,control,1,1,0,synthetic,near_null_effect
SYN-000181,control,1,1,1,synthetic,near_null_effect
SYN-000182,treatment,1,1,0,synthetic,near_null_effect
SYN-000183,treatment,1,1,0,synthetic,near_null_effect
SYN-000184,control,1,1,0,synthetic,near_null_effect
SYN-000185,control,1,1,0,synthetic,near_null_effect
SYN-000186,treatment,1,1,0,synthetic,near_null_effect
SYN-000187,treatment,1,1,0,synthetic,near_null_effect
SYN-000188,treatment,1,1,0,synthetic,near_null_effect
SYN-000189,control,1,1,0,synthetic,near_null_effect
SYN-000190,control,1,1,1,synthetic,near_null_effect
SYN-000191,control,1,1,0,synthetic,near_null_effect
SYN-000192,control,1,1,0,synthetic,near_null_effect
SYN-000193,treatment,1,1,0,synthetic,near_null_effect
SYN-000194,treatment,1,1,0,synthetic,near_null_effect
SYN-000195,treatment,1,1,1,synthetic,near_null_effect
SYN-000196,treatment,1,1,0,synthetic,near_null_effect
SYN-000197,treatment,1,1,0,synthetic,near_null_effect
SYN-000198,treatment,1,1,0,synthetic,near_null_effect
SYN-000199,control,1,1,0,synthetic,near_null_effect
SYN-000200,treatment,1,1,0,synthetic,near_null_effect
SYN-000201,treatment,1,1,0,synthetic,near_null_effect
SYN-000202,treatment,1,1,1,synthetic,near_null_effect
SYN-000203,control,1,1,0,synthetic,near_null_effect
SYN-000204,treatment,1,1,0,synthetic,near_null_effect
SYN-000205,treatment,1,1,0,synthetic,near_null_effect
SYN-000206,control,1,1,0,synthetic,near_null_effect
SYN-000207,treatment,1,1,0,synthetic,near_null_effect
SYN-000208,control,1,1,0,synthetic,near_null_effect
SYN-000209,treatment,1,1,0,synthetic,near_null_effect
SYN-000210,treatment,1,1,0,synthetic,near_null_effect
SYN-000211,treatment,1,1,1,synthetic,near_null_effect
SYN-000212,treatment,1,1,1,synthetic,near_null_effect
SYN-000213,treatment,1,1,0,synthetic,near_null_effect
SYN-000214,control,1,1,0,synthetic,near_null_effect
SYN-000215,treatment,1,1,0,synthetic,near_null_effect
SYN-000216,control,1,1,1,synthetic,near_null_effect
SYN-000217,treatment,1,1,1,synthetic,near_null_effect
SYN-000218,treatment,1,1,0,synthetic,near_null_effect
SYN-000219,treatment,1,1,0,synthetic,near_null_effect
SYN-000220,treatment,1,1,0,synthetic,near_null_effect
SYN-000221,control,1,1,0,synthetic,near_null_effect
SYN-000222,treatment,1,1,0,synthetic,near_null_effect
SYN-000223,treatment,1,1,0,synthetic,near_null_effect
SYN-000224,treatment,1,1,0,synthetic,near_null_effect
SYN-000225,treatment,1,1,0,synthetic,near_null_effect
SYN-000226,treatment,1,1,0,synthetic,near_null_effect
SYN-000227,treatment,1,1,1,synthetic,near_null_effect
SYN-000228,treatment,1,1,0,synthetic,near_null_effect
SYN-000229,treatment,1,1,0,synthetic,near_null_effect
SYN-000230,treatment,1,1,1,synthetic,near_null_effect
SYN-000231,control,1,1,1,synthetic,near_null_effect
SYN-000232,control,1,1,0,synthetic,near_null_effect
SYN-000233,treatment,1,1,0,synthetic,near_null_effect
SYN-000234,treatment,1,1,0,synthetic,near_null_effect
SYN-000235,treatment,1,1,0,synthetic,near_null_effect
SYN-000236,control,1,1,0,synthetic,near_null_effect
SYN-000237,treatment,1,1,0,synthetic,near_null_effect
SYN-000238,treatment,1,1,0,synthetic,near_null_effect
SYN-000239,control,1,1,0,synthetic,near_null_effect
SYN-000240,treatment,1,1,0,synthetic,near_null_effect
SYN-000241,treatment,1,1,0,synthetic,near_null_effect
SYN-000242,control,1,1,0,synthetic,near_null_effect
SYN-000243,treatment,1,1,0,synthetic,near_null_effect
SYN-000244,control,1,1,0,synthetic,near_null_effect
SYN-000245,treatment,1,1,0,synthetic,near_null_effect
SYN-000246,control,1,1,0,synthetic,near_null_effect
SYN-000247,treatment,1,1,0,synthetic,near_null_effect
SYN-000248,control,1,1,0,synthetic,near_null_effect
SYN-000249,treatment,1,1,1,synthetic,near_null_effect
SYN-000250,treatment,1,1,0,synthetic,near_null_effect
SYN-000251,control,1,1,0,synthetic,near_null_effect
SYN-000252,control,1,1,0,synthetic,near_null_effect
SYN-000253,control,1,1,0,synthetic,near_null_effect
SYN-000254,control,1,1,0,synthetic,near_null_effect
SYN-000255,control,1,1,0,synthetic,near_null_effect
SYN-000256,treatment,1,1,1,synthetic,near_null_effect
SYN-000257,control,1,1,0,synthetic,near_null_effect
SYN-000258,control,1,1,0,synthetic,near_null_effect
SYN-000259,control,1,1,0,synthetic,near_null_effect
SYN-000260,control,1,1,0,synthetic,near_null_effect
SYN-000261,control,1,1,0,synthetic,near_null_effect
SYN-000262,treatment,1,1,0,synthetic,near_null_effect
SYN-000263,control,1,1,0,synthetic,near_null_effect
SYN-000264,treatment,1,1,0,synthetic,near_null_effect
SYN-000265,treatment,1,1,0,synthetic,near_null_effect
SYN-000266,control,1,1,0,synthetic,near_null_effect
SYN-000267,treatment,1,1,0,synthetic,near_null_effect
SYN-000268,control,1,1,0,synthetic,near_null_effect
SYN-000269,treatment,1,1,0,synthetic,near_null_effect
SYN-000270,treatment,1,1,0,synthetic,near_null_effect
SYN-000271,control,1,1,0,synthetic,near_null_effect
SYN-000272,treatment,1,1,0,synthetic,near_null_effect
SYN-000273,treatment,1,1,0,synthetic,near_null_effect
SYN-000274,control,1,1,0,synthetic,near_null_effect
SYN-000275,treatment,1,1,0,synthetic,near_null_effect
SYN-000276,treatment,1,1,1,synthetic,near_null_effect
SYN-000277,treatment,1,1,0,synthetic,near_null_effect
SYN-000278,treatment,1,1,0,synthetic,near_null_effect
SYN-000279,control,1,1,0,synthetic,near_null_effect
SYN-000280,treatment,1,1,0,synthetic,near_null_effect
SYN-000281,control,1,1,0,synthetic,near_null_effect
SYN-000282,control,1,1,0,synthetic,near_null_effect
SYN-000283,treatment,1,1,0,synthetic,near_null_effect
SYN-000284,treatment,1,1,0,synthetic,near_null_effect
SYN-000285,treatment,1,1,0,synthetic,near_null_effect
SYN-000286,treatment,1,1,0,synthetic,near_null_effect
SYN-000287,treatment,1,1,0,synthetic,near_null_effect
SYN-000288,treatment,1,1,0,synthetic,near_null_effect
SYN-000289,treatment,1,1,0,synthetic,near_null_effect
SYN-000290,control,1,1,0,synthetic,near_null_effect
SYN-000291,treatment,1,1,0,synthetic,near_null_effect
SYN-000292,control,1,1,0,synthetic,near_null_effect
SYN-000293,control,1,1,0,synthetic,near_null_effect
SYN-000294,control,1,1,0,synthetic,near_null_effect
SYN-000295,control,1,1,1,synthetic,near_null_effect
SYN-000296,control,1,1,0,synthetic,near_null_effect
SYN-000297,treatment,1,1,1,synthetic,near_null_effect
SYN-000298,control,1,1,0,synthetic,near_null_effect
SYN-000299,control,1,1,1,synthetic,near_null_effect
SYN-000300,control,1,1,0,synthetic,near_null_effect
SYN-000301,treatment,1,1,0,synthetic,near_null_effect
SYN-000302,treatment,1,1,1,synthetic,near_null_effect
SYN-000303,treatment,1,1,0,synthetic,near_null_effect
SYN-000304,control,1,1,0,synthetic,near_null_effect
SYN-000305,control,1,1,0,synthetic,near_null_effect
SYN-000306,control,1,1,1,synthetic,near_null_effect
SYN-000307,control,1,1,0,synthetic,near_null_effect
SYN-000308,treatment,1,1,0,synthetic,near_null_effect
SYN-000309,treatment,1,1,0,synthetic,near_null_effect
SYN-000310,treatment,1,1,0,synthetic,near_null_effect
SYN-000311,control,1,1,0,synthetic,near_null_effect
SYN-000312,treatment,1,1,0,synthetic,near_null_effect
SYN-000313,control,1,1,0,synthetic,near_null_effect
SYN-000314,control,1,1,0,synthetic,near_null_effect
SYN-000315,treatment,1,1,0,synthetic,near_null_effect
SYN-000316,treatment,1,1,1,synthetic,near_null_effect
SYN-000317,control,1,1,0,synthetic,near_null_effect
SYN-000318,treatment,1,1,0,synthetic,near_null_effect
SYN-000319,treatment,1,1,0,synthetic,near_null_effect
SYN-000320,treatment,1,1,0,synthetic,near_null_effect
SYN-000321,treatment,1,1,0,synthetic,near_null_effect
SYN-000322,control,1,1,0,synthetic,near_null_effect
SYN-000323,control,1,1,0,synthetic,near_null_effect
SYN-000324,control,1,1,0,synthetic,near_null_effect
SYN-000325,treatment,1,1,1,synthetic,near_null_effect
SYN-000326,control,1,1,0,synthetic,near_null_effect
SYN-000327,control,1,1,1,synthetic,near_null_effect
SYN-000328,control,1,1,0,synthetic,near_null_effect
SYN-000329,control,1,1,0,synthetic,near_null_effect
SYN-000330,treatment,1,1,0,synthetic,near_null_effect
SYN-000331,treatment,1,1,0,synthetic,near_null_effect
SYN-000332,treatment,1,1,0,synthetic,near_null_effect
SYN-000333,control,1,1,0,synthetic,near_null_effect
SYN-000334,treatment,1,1,0,synthetic,near_null_effect
SYN-000335,control,1,1,0,synthetic,near_null_effect
SYN-000336,treatment,1,1,0,synthetic,near_null_effect
SYN-000337,control,1,1,0,synthetic,near_null_effect
SYN-000338,treatment,1,1,0,synthetic,near_null_effect
SYN-000339,treatment,1,1,0,synthetic,near_null_effect
SYN-000340,treatment,1,1,0,synthetic,near_null_effect
SYN-000341,control,1,1,0,synthetic,near_null_effect
SYN-000342,control,1,1,0,synthetic,near_null_effect
SYN-000343,treatment,1,1,0,synthetic,near_null_effect
SYN-000344,control,1,1,0,synthetic,near_null_effect
SYN-000345,treatment,1,1,0,synthetic,near_null_effect
SYN-000346,control,1,1,0,synthetic,near_null_effect
SYN-000347,control,1,1,0,synthetic,near_null_effect
SYN-000348,treatment,1,1,0,synthetic,near_null_effect
SYN-000349,treatment,1,1,0,synthetic,near_null_effect
SYN-000350,control,1,1,0,synthetic,near_null_effect
SYN-000351,control,1,1,0,synthetic,near_null_effect
SYN-000352,treatment,1,1,1,synthetic,near_null_effect
SYN-000353,control,1,1,1,synthetic,near_null_effect
SYN-000354,treatment,1,1,0,synthetic,near_null_effect
SYN-000355,control,1,1,0,synthetic,near_null_effect
SYN-000356,treatment,1,1,0,synthetic,near_null_effect
SYN-000357,treatment,1,1,0,synthetic,near_null_effect
SYN-000358,treatment,1,1,0,synthetic,near_null_effect
SYN-000359,control,1,1,0,synthetic,near_null_effect
SYN-000360,treatment,1,1,0,synthetic,near_null_effect
SYN-000361,control,1,1,1,synthetic,near_null_effect
SYN-000362,treatment,1,1,0,synthetic,near_null_effect
SYN-000363,treatment,1,1,0,synthetic,near_null_effect
SYN-000364,control,1,1,0,synthetic,near_null_effect
SYN-000365,treatment,1,1,0,synthetic,near_null_effect
SYN-000366,control,1,1,0,synthetic,near_null_effect
SYN-000367,control,1,1,0,synthetic,near_null_effect
SYN-000368,control,1,1,0,synthetic,near_null_effect
SYN-000369,control,1,1,0,synthetic,near_null_effect
SYN-000370,control,1,1,0,synthetic,near_null_effect
SYN-000371,control,1,1,0,synthetic,near_null_effect
SYN-000372,control,1,1,0,synthetic,near_null_effect
SYN-000373,control,1,1,0,synthetic,near_null_effect
SYN-000374,control,1,1,0,synthetic,near_null_effect
SYN-000375,control,1,1,1,synthetic,near_null_effect
SYN-000376,treatment,1,1,0,synthetic,near_null_effect
SYN-000377,treatment,1,1,0,synthetic,near_null_effect
SYN-000378,treatment,1,1,0,synthetic,near_null_effect
SYN-000379,control,1,1,0,synthetic,near_null_effect
SYN-000380,treatment,1,1,0,synthetic,near_null_effect
SYN-000381,control,1,1,0,synthetic,near_null_effect
SYN-000382,control,1,1,0,synthetic,near_null_effect
SYN-000383,treatment,1,1,0,synthetic,near_null_effect
SYN-000384,control,1,1,0,synthetic,near_null_effect
SYN-000385,control,1,1,1,synthetic,near_null_effect
SYN-000386,control,1,1,1,synthetic,near_null_effect
SYN-000387,treatment,1,1,0,synthetic,near_null_effect
SYN-000388,treatment,1,1,1,synthetic,near_null_effect
SYN-000389,control,1,1,0,synthetic,near_null_effect
SYN-000390,treatment,1,1,1,synthetic,near_null_effect
SYN-000391,treatment,1,1,0,synthetic,near_null_effect
SYN-000392,control,1,1,0,synthetic,near_null_effect
SYN-000393,treatment,1,1,0,synthetic,near_null_effect
SYN-000394,treatment,1,1,0,synthetic,near_null_effect
SYN-000395,treatment,1,1,0,synthetic,near_null_effect
SYN-000396,treatment,1,1,0,synthetic,near_null_effect
SYN-000397,control,1,1,1,synthetic,near_null_effect
SYN-000398,control,1,1,0,synthetic,near_null_effect
SYN-000399,control,1,1,0,synthetic,near_null_effect
SYN-000400,treatment,1,1,0,synthetic,near_null_effect
SYN-000401,treatment,1,1,0,synthetic,near_null_effect
SYN-000402,control,1,1,0,synthetic,near_null_effect
SYN-000403,control,1,1,0,synthetic,near_null_effect
SYN-000404,control,1,1,1,synthetic,near_null_effect
SYN-000405,control,1,1,0,synthetic,near_null_effect
SYN-000406,control,1,1,0,synthetic,near_null_effect
SYN-000407,control,1,1,0,synthetic,near_null_effect
SYN-000408,control,1,1,0,synthetic,near_null_effect
SYN-000409,control,1,1,0,synthetic,near_null_effect
SYN-000410,treatment,1,1,0,synthetic,near_null_effect
SYN-000411,control,1,1,0,synthetic,near_null_effect
SYN-000412,control,1,1,0,synthetic,near_null_effect
SYN-000413,control,1,1,0,synthetic,near_null_effect
SYN-000414,treatment,1,1,0,synthetic,near_null_effect
SYN-000415,treatment,1,1,0,synthetic,near_null_effect
SYN-000416,control,1,1,0,synthetic,near_null_effect
SYN-000417,control,1,1,0,synthetic,near_null_effect
SYN-000418,control,1,1,0,synthetic,near_null_effect
SYN-000419,control,1,1,0,synthetic,near_null_effect
SYN-000420,control,1,1,0,synthetic,near_null_effect
SYN-000421,treatment,1,1,0,synthetic,near_null_effect
SYN-000422,treatment,1,1,0,synthetic,near_null_effect
SYN-000423,control,1,1,0,synthetic,near_null_effect
SYN-000424,control,1,1,1,synthetic,near_null_effect
SYN-000425,control,1,1,0,synthetic,near_null_effect
SYN-000426,treatment,1,1,0,synthetic,near_null_effect
SYN-000427,treatment,1,1,0,synthetic,near_null_effect
SYN-000428,treatment,1,1,0,synthetic,near_null_effect
SYN-000429,control,1,1,0,synthetic,near_null_effect
SYN-000430,treatment,1,1,0,synthetic,near_null_effect
SYN-000431,treatment,1,1,1,synthetic,near_null_effect
SYN-000432,treatment,1,1,0,synthetic,near_null_effect
SYN-000433,control,1,1,0,synthetic,near_null_effect
SYN-000434,control,1,1,0,synthetic,near_null_effect
SYN-000435,control,1,1,0,synthetic,near_null_effect
SYN-000436,treatment,1,1,0,synthetic,near_null_effect
SYN-000437,treatment,1,1,0,synthetic,near_null_effect
SYN-000438,control,1,1,0,synthetic,near_null_effect
SYN-000439,control,1,1,0,synthetic,near_null_effect
SYN-000440,treatment,1,1,0,synthetic,near_null_effect
SYN-000441,control,1,1,0,synthetic,near_null_effect
SYN-000442,control,1,1,0,synthetic,near_null_effect
SYN-000443,treatment,1,1,0,synthetic,near_null_effect
SYN-000444,treatment,1,1,0,synthetic,near_null_effect
SYN-000445,treatment,1,1,0,synthetic,near_null_effect
SYN-000446,treatment,1,1,0,synthetic,near_null_effect
SYN-000447,control,1,1,0,synthetic,near_null_effect
SYN-000448,control,1,1,1,synthetic,near_null_effect
SYN-000449,treatment,1,1,0,synthetic,near_null_effect
SYN-000450,control,1,1,0,synthetic,near_null_effect
SYN-000451,control,1,1,0,synthetic,near_null_effect
SYN-000452,treatment,1,1,0,synthetic,near_null_effect
SYN-000453,control,1,1,0,synthetic,near_null_effect
SYN-000454,control,1,1,0,synthetic,near_null_effect
SYN-000455,treatment,1,1,0,synthetic,near_null_effect
SYN-000456,control,1,1,0,synthetic,near_null_effect
SYN-000457,treatment,1,1,0,synthetic,near_null_effect
SYN-000458,control,1,1,0,synthetic,near_null_effect
SYN-000459,control,1,1,1,synthetic,near_null_effect
SYN-000460,control,1,1,0,synthetic,near_null_effect
SYN-000461,treatment,1,1,0,synthetic,near_null_effect
SYN-000462,control,1,1,0,synthetic,near_null_effect
SYN-000463,control,1,1,0,synthetic,near_null_effect
SYN-000464,treatment,1,1,0,synthetic,near_null_effect
SYN-000465,control,1,1,0,synthetic,near_null_effect
SYN-000466,control,1,1,0,synthetic,near_null_effect
SYN-000467,control,1,1,0,synthetic,near_null_effect
SYN-000468,treatment,1,1,0,synthetic,near_null_effect
SYN-000469,control,1,1,0,synthetic,near_null_effect
SYN-000470,control,1,1,0,synthetic,near_null_effect
SYN-000471,treatment,1,1,0,synthetic,near_null_effect
SYN-000472,control,1,1,0,synthetic,near_null_effect
SYN-000473,treatment,1,1,0,synthetic,near_null_effect
SYN-000474,treatment,1,1,0,synthetic,near_null_effect
SYN-000475,control,1,1,0,synthetic,near_null_effect
SYN-000476,treatment,1,1,0,synthetic,near_null_effect
SYN-000477,treatment,1,1,0,synthetic,near_null_effect
SYN-000478,treatment,1,1,0,synthetic,near_null_effect
SYN-000479,treatment,1,1,0,synthetic,near_null_effect
SYN-000480,treatment,1,1,0,synthetic,near_null_effect
SYN-000481,control,1,1,0,synthetic,near_null_effect
SYN-000482,control,1,1,0,synthetic,near_null_effect
SYN-000483,control,1,1,0,synthetic,near_null_effect
SYN-000484,treatment,1,1,0,synthetic,near_null_effect
SYN-000485,control,1,1,0,synthetic,near_null_effect
SYN-000486,treatment,1,1,0,synthetic,near_null_effect
SYN-000487,control,1,1,0,synthetic,near_null_effect
SYN-000488,treatment,1,1,0,synthetic,near_null_effect
SYN-000489,control,1,1,0,synthetic,near_null_effect
SYN-000490,treatment,1,1,1,synthetic,near_null_effect
SYN-000491,control,1,1,1,synthetic,near_null_effect
SYN-000492,treatment,1,1,0,synthetic,near_null_effect
SYN-000493,control,1,1,0,synthetic,near_null_effect
SYN-000494,treatment,1,1,0,synthetic,near_null_effect
SYN-000495,control,1,1,0,synthetic,near_null_effect
SYN-000496,control,1,1,0,synthetic,near_null_effect
